"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MAGED1",1.01662184287521,10.5930169074076,5.83726407059433,6.59283590611799e-06,0.000950250510496598,3.95502387077862
"TENM4",1.31529381574852,5.76342695799853,5.80059155865012,7.1941254014678e-06,0.000999684136584869,3.87206171566257
"TRIM2",1.11568075534703,6.99355726648494,5.7985689921924,7.22886853053992e-06,0.000999684136584869,3.86748189281618
"CLEC11A",1.05952717864286,7.12022296592657,5.78296977385028,7.50263153598417e-06,0.00101258352743109,3.83214469023909
"XDH",1.51062910235433,6.02899392257618,5.72125660486546,8.69327715012112e-06,0.0011190270656071,3.6920889321837
"BLACAT1",1.42599681187331,5.20408441824293,5.68086197491041,9.57511513555086e-06,0.00115813175012664,3.60019801590204
"COMP",2.6598365751969,6.55037650994353,5.63534629469311,1.06784033959282e-05,0.00124070681498466,3.49645733463932
"MAGED4B",1.16067905112809,6.50427101954701,5.60166663870137,1.15773056637499e-05,0.00128297230836182,3.41956010243971
"IGFL2",1.2982578131056,5.08364297852054,5.55509380108444,1.29485654180399e-05,0.001353316003869,3.31304266010239
"COL5A2",1.85721256913101,9.22144358793716,5.42203366235874,1.78475827233181e-05,0.00151571151700478,3.00760384693963
"CDH3",1.81513845449128,7.87833050770677,5.40826636635638,1.84516926384999e-05,0.00154774915259089,2.97591100608988
"SBK1",1.10201768181276,6.87376478774802,5.38102720019488,1.97087829645585e-05,0.00159351907699616,2.91315780398986
"CDCA7",1.32201488362897,5.29181396547392,5.29923382664925,2.40307408643402e-05,0.00180488456643429,2.72435620309826
"HABP2",1.74847593985978,6.11887123698143,5.27850516324274,2.52711685585399e-05,0.00183781362546792,2.67642457261531
"INAVA",1.98316480263131,8.92994871921107,5.205896303133,3.01509490054222e-05,0.00199442337819993,2.50827492171242
"SUGCT",1.39129830873571,6.06881945469531,5.17736197469394,3.23205635945769e-05,0.00206822917536994,2.44209089206878
"GPT2",1.14975500213881,6.43859425453084,5.12037328798092,3.71384115512635e-05,0.00221258085893735,2.30974398322232
"COL5A1",1.75633995476696,8.42522299021584,5.12015767931102,3.71579553914529e-05,0.00221258085893735,2.30924286602597
"SPAG4",1.43913347162836,6.98243751075093,5.09950229350697,3.90793042424625e-05,0.00227710611804445,2.26122210790684
"MXRA5",2.20576617384445,9.2277660633484,5.09776094148758,3.92458040914864e-05,0.00227710611804445,2.25717250471944
"MANEAL",1.20683677473513,6.54003775117291,5.09514083077878,3.94976788550905e-05,0.00227710611804445,2.2510789516757
"FUT2",1.00786401380104,6.63487792341153,5.09285340561228,3.97189077120178e-05,0.00227710611804445,2.24575877622319
"COL1A1",1.69388232860696,8.97425744594939,4.97513329549412,5.29691195128067e-05,0.00258907396844729,1.97155324169232
"ZNF114",1.01401668942541,5.12580194133736,4.95809430574538,5.52265659930165e-05,0.00264004835449211,1.93180274346302
"RMI2",1.19362290140479,7.0296321453844,4.95752378703829,5.53038097615608e-05,0.00264004835449211,1.93047152389162
"H2BC5",1.12795566478075,8.69092759797339,4.92634733656412,5.96948818036278e-05,0.00278308689265342,1.85770225142414
"COL3A1",1.91537271590928,10.454771059747,4.92261101220409,6.02442035186199e-05,0.00278333659913227,1.84897820668066
"TOP6BL",1.42566158695729,5.68913270700037,4.88433464875373,6.61739188767561e-05,0.00291041144717158,1.75956997032262
"GALNT10",1.13131636249422,7.31176400941334,4.86781170286078,6.89122714967259e-05,0.00299041341089682,1.72095543361649
"AFAP1-AS1",1.29356854817485,5.7422536519802,4.86277416694025,6.97696515668077e-05,0.00300626412340601,1.70918038577714
"MAP7D2",1.60481747623735,4.95042110557575,4.80672320758006,8.00663985661095e-05,0.00324172360989143,1.57809851573659
"PCAT6",1.19972326680804,5.67986373903998,4.7921373675956,8.29883566831314e-05,0.00328933966932786,1.54396959522731
"OCIAD2",1.56693342612782,9.94928841924898,4.72856999990886,9.70292205944939e-05,0.00355258865457515,1.39515441271938
"COL16A1",1.05308213544278,8.01194877682418,4.71593336261126,0.000100093356939074,0.00362585971056995,1.3655580893537
"ORC6",1.46669212238931,6.85430352093619,4.60074244430868,0.000132919973894093,0.00429774582257567,1.09561992499039
"KCNK5",1.88785830896619,7.62861597139887,4.59549635786653,0.000134649299303908,0.00432459818636054,1.08332147214047
"KHDC4",1.06752657448794,6.98971568264793,4.56825725960576,0.000143998178109562,0.00451914542963269,1.01946044625493
"LINC00467",1.11007163290293,6.95962375568965,4.56699109685162,0.000144448250265155,0.00451914542963269,1.01649183179832
"SPP1",3.27490515410395,10.4227845485631,4.52232090444736,0.000161263158595437,0.00482539922072049,0.911754036341944
"FCGBP",1.71505357213478,7.49328615577833,4.501963516736,0.000169564157427231,0.00500067667156072,0.864020743536719
"PLEKHA6",1.19580748113481,5.93991470501195,4.49356191055272,0.000173113651058018,0.00508338177360753,0.844321044812712
"RNF43",1.13121796508668,6.95145756205748,4.48569174989435,0.000176506135805078,0.00514382095569895,0.82586760419305
"FLVCR1",1.14270743210589,7.44836887538407,4.45243480011642,0.000191592886080184,0.00536433871327377,0.747891911290408
"UNC5CL",1.8061333986771,6.50616101448335,4.4113244056317,0.000212038997858341,0.00575096026667285,0.651514923405266
"WASIR2",1.2374942007041,4.12369527768558,4.3897218231227,0.00022364400164906,0.00592917329242398,0.60087927467494
"STK39",1.12252175436335,8.2460886251685,4.35589392263962,0.000243105900949815,0.00625867732671681,0.521603450579424
"PSPH",1.12849459037702,6.01695548068906,4.30882027277925,0.000273036797538302,0.00665492781387942,0.411326603122941
"GINS1",2.03089270382999,5.96285671818431,4.24534775398899,0.000319301675270851,0.00740107291933014,0.262731301718235
"PCCA-DT",1.03279820528013,6.38881638010709,4.21171771309538,0.000346904371121799,0.00764272525699661,0.184057191008236
"EGF",1.26574062990561,4.71242265454196,4.19170751949315,0.000364444110544705,0.00782694397745906,0.137267201528914
"CIART",1.2699721154709,5.931585091599,4.18201207739873,0.000373257651885658,0.00798276017598437,0.114602596092103
"SULF1",1.81737678484084,8.39064423447729,4.16018757139666,0.000393881637965574,0.00819265801244045,0.0636004134991266
"PCLAF",1.05801721281652,6.87230960545671,4.12823188128413,0.000426143383375031,0.00856135474522132,-0.0110347934195563
"CXCL14",2.43870671684706,7.77332843141028,4.12314493667755,0.000431516311979292,0.00862484800515642,-0.0229108041393813
"GCNT3",2.07950785239421,6.82800285111724,4.11163736313361,0.000443920837309028,0.00874468505986899,-0.0497711662635192
"LRIG3",1.44768264941105,7.10792874283493,4.10714414944573,0.000448860008106414,0.00879299167016522,-0.0602569548018081
"SIX4",1.33455080421972,6.61562261145288,4.08846592604224,0.000469984729961203,0.00908326484241355,-0.103833603634145
"DSP",1.8762119607225,9.57675126942792,4.08440235308838,0.000474709904833906,0.00912289917580804,-0.113311234439585
"FNDC1",2.03293929267716,5.80708846466534,4.08124244243779,0.000478416908631924,0.00916831354772433,-0.12068052017473
"MMP11",1.03945445744982,6.27459042342298,4.04147250453005,0.00052760684502952,0.00967610152080572,-0.213374347989988
"CILP2",1.28873986892677,5.26801308226468,4.03343977730104,0.000538136042771671,0.00979024923325137,-0.232083874075928
