"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LGALS8",-0.74914847729772,8.01203265390123,-6.66948022406799,9.47222494283192e-07,0.000393999454865394,5.7936617797056
"THBS2",2.83174457249249,8.71578844365495,6.66245803487319,9.62523708568413e-07,0.000393999454865394,5.77852955563468
"GNAQ",-1.00191254215525,8.95179704627704,-6.64055257405644,1.01190182702592e-06,0.000404026667011164,5.73128092742228
"LCP1",-1.79853971194222,10.6503038952881,-6.63428549499595,1.02650054646898e-06,0.000404026667011164,5.71775095815503
"GRK5",-1.31712542237767,7.59849252809707,-6.60500601859029,1.09761664490982e-06,0.000412255756855579,5.65446738491766
"PEA15",-0.98485849625431,10.6391141434792,-6.58902842144224,1.13853204414557e-06,0.000412255756855579,5.61988395804483
"GZMM",-0.639448734098587,6.26560955184733,-6.58840740101035,1.14015351380239e-06,0.000412255756855579,5.61853905106576
"NAB1",-1.29801333999054,7.12744804612421,-6.58453652026602,1.15031371883912e-06,0.000412255756855579,5.6101549164728
"EIF4E3",-1.38798272517461,7.23419059546421,-6.5816033435511,1.1580743465401e-06,0.000412255756855579,5.60380042688426
"RNF144B",-1.18782104650322,7.80792163296046,-6.57778296948553,1.16826275944807e-06,0.000412255756855579,5.59552211949716
"P2RY14",-1.12509400983142,8.20845027616513,-6.53643755017228,1.28457632312977e-06,0.000445617349245713,5.50580318122058
"KLRB1",-1.77096702452439,8.34388712380045,-6.51761438227051,1.3413929851632e-06,0.00045757150378892,5.46487974045338
"NKG7",-2.12690697174677,8.53654816171511,-6.50592033353532,1.37797962506586e-06,0.000462346048954476,5.4394314219332
"NLRC4",-0.762248107206246,5.5498788860991,-6.47237228580981,1.48871068142914e-06,0.000475976952095916,5.3663220542578
"COL1A2",1.95856381999049,10.6284633176195,6.46637887331598,1.50943173619958e-06,0.000475976952095916,5.3532449398229
"CD52",-1.51250713565348,10.9799375303282,-6.46012873264749,1.53135478286565e-06,0.000475976952095916,5.33960251338159
"LYVE1",-2.97401915197906,7.41646272755497,-6.45938734719449,1.53397679197783e-06,0.000475976952095916,5.33798391363113
"ACE",-1.45675300336783,6.98854584809971,-6.45406187745794,1.55294649344994e-06,0.000475976952095916,5.32635512579505
"SPX",-0.820946130618469,4.83307778051707,-6.4526154144139,1.55814021548964e-06,0.000475976952095916,5.32319594597106
"CD247",-1.21380989975264,8.39530141118678,-6.43649721372966,1.61723118747552e-06,0.000480473767970995,5.28797364076391
"TBX21",-1.23747464669943,6.4659218164777,-6.43580707234351,1.6198118918258e-06,0.000480473767970995,5.28646473190826
