"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FMO2",-1.7855272505624,9.99430869882968,-3.83850496188386,0.000868391750239186,0.0130398928482358,-0.684533531522376
"CAB39L",-1.12436230673921,7.10896947128644,-3.83738365120328,0.000870779661834516,0.0130639897899934,-0.687126016372694
"PTGS2",-2.50860220861691,8.61347516103241,-3.83604732831266,0.000873633934821794,0.0130802236605689,-0.690215441843686
"DPT",-1.45298690048621,8.42248797395156,-3.83296744308897,0.000880247572838866,0.0131599905575552,-0.69733507571985
"SAMSN1",-1.69536653986166,8.98336996087823,-3.82683664133382,0.000893560267190776,0.0132827805390574,-0.711504420113771
"CETP",-1.00889531721455,5.85055606709938,-3.82592843719165,0.000895549228279181,0.0132950253108622,-0.713603100310221
"MSR1",-1.76279585577196,7.07762721857068,-3.8246332630419,0.000898393220850103,0.0133145648451405,-0.716595840588352
"MCEMP1",-2.11288201814336,9.5355474568648,-3.82336188985317,0.000901193629448624,0.0133240560310049,-0.71953341121825
"RGS13",-1.31401898087293,5.21734061216832,-3.82209803237998,0.00090398603170529,0.0133491212921444,-0.722453446050804
"IL2RG",-1.07188323413246,9.47840198641225,-3.81418449295953,0.000921665786334628,0.0135418044859374,-0.740733118631576
"CEBPD",-1.19097295469192,10.1141863211221,-3.81047802051773,0.00093006350595243,0.0136081101852324,-0.749292466307407
"FABP5",-1.67907323779067,10.7872031376074,-3.80803701631567,0.00093563529634897,0.0136685564670766,-0.754928656084774
"C16orf54",-1.13001901794762,7.87753488986139,-3.80464630077187,0.000943429619092123,0.0137334096827585,-0.762756614681256
"GPX3",-1.54867346322076,12.2568329962399,-3.80378517087074,0.000945419309188353,0.0137397551341488,-0.764744457197279
"CA2",-1.80241206986585,9.24140339810237,-3.79328673219308,0.000970012312172121,0.0139558927093919,-0.788972584404872
"ARHGDIA",-1.10191400801209,8.54927862670369,-3.79316331700522,0.000970305141225614,0.0139558927093919,-0.789257327034295
"MIR22HG",-1.30276565129827,9.47015045404765,-3.79092960776097,0.000975620205813674,0.0140028181994309,-0.794410629753331
"XRN2",-1.15019198997442,8.52289893230784,-3.78624962063788,0.000986849505184465,0.0140653543332942,-0.805205823276317
"PTPRB",-1.23918017293484,6.9701397166012,-3.78253982573045,0.000995841462783627,0.0141737741438056,-0.813761340224812
"PKIG",-1.1306015278299,9.96072948768527,-3.78119699008292,0.000999116178519993,0.0141809367723777,-0.816857797313954
